Frame,Timestamp (ms),Active points,Bounding box centre X (px),Bounding box centre Y (px),Bounding box width (px),Bounding box height (px),Bounding box rotation (degrees),Bounding box vertex 1 X (px),Bounding box vertex 1 Y (px),Bounding box vertex 2 X (px),Bounding box vertex 2 Y (px),Bounding box vertex 3 X (px),Bounding box vertex 3 Y (px),Bounding box vertex 4 X (px),Bounding box vertex 4 Y (px)
51,2080,51,212.493,123.787,54.2131,37.146,0,185.387,142.36,185.387,105.214,239.6,105.214,239.6,142.36
52,2120,51,213.324,123.833,54.6235,37.4272,0,186.012,142.546,186.012,105.119,240.636,105.119,240.636,142.546
53,2160,51,213.111,123.873,54.4362,37.2989,0,185.893,142.523,185.893,105.224,240.329,105.224,240.329,142.523
54,2200,53,213.719,123.896,54.8132,37.5572,0,186.313,142.674,186.313,105.117,241.126,105.117,241.126,142.674
55,2240,52,215.231,124.01,56.0574,38.4097,0,187.202,143.215,187.202,104.805,243.259,104.805,243.259,143.215
56,2280,54,214.569,124.125,54.7715,37.5286,0,187.183,142.89,187.183,105.361,241.955,105.361,241.955,142.89
57,2320,55,214.987,124.214,54.5731,37.3927,0,187.701,142.91,187.701,105.517,242.274,105.517,242.274,142.91
58,2360,54,215.81,124.738,54.0949,37.065,0,188.762,143.27,188.762,106.205,242.857,106.205,242.857,143.27
59,2400,52,216.768,125.203,54.6814,37.4669,0,189.427,143.936,189.427,106.47,244.109,106.47,244.109,143.936
60,2440,55,217.407,125.426,54.5437,37.3725,0,190.135,144.112,190.135,106.739,244.679,106.739,244.679,144.112
61,2480,54,218.037,126.129,54.3331,37.2283,0,190.87,144.743,190.87,107.515,245.203,107.515,245.203,144.743
62,2520,52,218.006,125.966,55.581,38.0833,0,190.216,145.008,190.216,106.924,245.797,106.924,245.797,145.008
63,2560,56,217.687,125.964,54.2955,37.2025,0,190.539,144.566,190.539,107.363,244.835,107.363,244.835,144.566
64,2600,55,218.863,126.582,54.5413,37.3709,0,191.592,145.267,191.592,107.897,246.134,107.897,246.134,145.267
65,2640,55,218.949,126.308,54.362,37.248,0,191.768,144.932,191.768,107.684,246.13,107.684,246.13,144.932
66,2680,54,219.52,126.767,53.9661,36.9768,0,192.537,145.256,192.537,108.279,246.504,108.279,246.504,145.256
67,2720,56,225.045,125.701,64.2028,43.9908,0,192.943,147.696,192.943,103.705,257.146,103.705,257.146,147.696
68,2760,44,211.56,127.079,60.8357,41.6837,0,181.143,147.921,181.143,106.237,241.978,106.237,241.978,147.921
69,2800,40,211.05,127.593,54.9983,37.684,0,183.551,146.435,183.551,108.751,238.549,108.751,238.549,146.435
70,2840,40,207.273,127.023,51.0526,34.9805,0,181.747,144.513,181.747,109.533,232.799,109.533,232.799,144.513
71,2880,41,209.172,127.469,51.7997,35.4924,0,183.272,145.215,183.272,109.723,235.072,109.723,235.072,145.215
72,2920,41,208.327,127.788,51.0335,34.9674,0,182.81,145.272,182.81,110.304,233.844,110.304,233.844,145.272
73,2960,46,207.402,128.036,52.9555,36.2843,0,180.924,146.178,180.924,109.894,233.879,109.894,233.879,146.178
74,3000,45,201.983,127.387,53.656,36.7643,0,175.155,145.769,175.155,109.005,228.811,109.005,228.811,145.769
75,3040,49,200.455,127.156,53.1717,36.4325,0,173.869,145.372,173.869,108.939,227.041,108.939,227.041,145.372
76,3080,47,197.024,126.24,52.6696,36.0884,0,170.689,144.284,170.689,108.195,223.359,108.195,223.359,144.284
77,3120,48,195.432,124.706,52.5624,36.015,0,169.151,142.713,169.151,106.698,221.713,106.698,221.713,142.713
78,3160,47,195.218,123.976,52.1173,35.71,0,169.159,141.831,169.159,106.121,221.277,106.121,221.277,141.831
79,3200,47,195.882,121.301,52.036,35.6543,0,169.864,139.128,169.864,103.474,221.9,103.474,221.9,139.128
80,3240,48,196.681,119.978,51.7067,35.4287,0,170.827,137.692,170.827,102.264,222.534,102.264,222.534,137.692
81,3280,49,196.803,119.196,51.2276,35.1004,0,171.189,136.746,171.189,101.646,222.416,101.646,222.416,136.746
82,3320,49,199.848,117.038,52.4226,35.9192,0,173.637,134.998,173.637,99.0788,226.06,99.0788,226.06,134.998
83,3360,50,201.756,115.604,52.2036,35.7692,0,175.654,133.488,175.654,97.7193,227.858,97.7193,227.858,133.488
84,3400,50,203.325,113.712,52.5501,36.0065,0,177.05,131.715,177.05,95.7085,229.6,95.7085,229.6,131.715
85,3440,49,204.603,112.2,52.9753,36.2979,0,178.115,130.349,178.115,94.0515,231.09,94.0515,231.09,130.349
86,3480,49,206.178,110.507,53.139,36.4101,0,179.609,128.712,179.609,92.302,232.748,92.302,232.748,128.712
87,3520,49,206.614,109.083,53.2566,36.4907,0,179.986,127.328,179.986,90.8374,233.243,90.8374,233.243,127.328
88,3560,47,208.687,106.905,52.5374,35.9979,0,182.418,124.903,182.418,88.9056,234.956,88.9056,234.956,124.903
89,3600,49,209.677,105.536,53.34,36.5478,0,183.007,123.81,183.007,87.2621,236.348,87.2621,236.348,123.81
90,3640,47,211.851,104.311,53.4613,36.6309,0,185.12,122.627,185.12,85.9959,238.582,85.9959,238.582,122.627
91,3680,46,215.297,102.44,54.2511,37.172,0,188.172,121.026,188.172,83.8544,242.423,83.8544,242.423,121.026
92,3720,46,216.746,101.105,55.1803,37.8087,0,189.155,120.01,189.155,82.2009,244.336,82.2009,244.336,120.01
93,3760,46,218.06,100.538,54.7959,37.5454,0,190.662,119.31,190.662,81.7649,245.458,81.7649,245.458,119.31
94,3800,45,216.244,100.571,52.4493,35.9375,0,190.02,118.54,190.02,82.6024,242.469,82.6024,242.469,118.54
95,3840,45,218.28,99.0539,52.9593,36.2869,0,191.8,117.197,191.8,80.9104,244.759,80.9104,244.759,117.197
96,3880,46,218.794,98.5965,51.1804,35.068,0,193.204,116.13,193.204,81.0625,244.384,81.0625,244.384,116.13
97,3920,46,218.541,98.4208,50.9075,34.8811,0,193.087,115.861,193.087,80.9803,243.995,80.9803,243.995,115.861
98,3960,47,221.184,97.5946,51.2655,35.1264,0,195.551,115.158,195.551,80.0314,246.817,80.0314,246.817,115.158
99,4000,46,222.631,97.1914,52.6644,36.0848,0,196.299,115.234,196.299,79.149,248.963,79.149,248.963,115.234
100,4040,48,223.297,97.4715,53.7414,36.8228,0,196.427,115.883,196.427,79.0601,250.168,79.0601,250.168,115.883
101,4080,48,223.653,97.4642,52.1671,35.7441,0,197.57,115.336,197.57,79.5922,249.737,79.5922,249.737,115.336
102,4120,49,224.565,97.4211,54.0139,37.0095,0,197.558,115.926,197.558,78.9163,251.572,78.9163,251.572,115.926
103,4160,49,224.579,97.3653,53.2039,36.4545,0,197.977,115.593,197.977,79.1381,251.181,79.1381,251.181,115.593
